id,package_name,BLOB,LM,SAK,CC,IGS,MIM,NLMR,LIC
771,com.gpl.rpg.AndorsTrail,11,111,0,24,12,5,17,129
780,com.frostwire.android,0,0,0,0,0,0,0,0
783,org.tasks,0,0,0,0,0,0,0,0
784,org.developfreedom.wordpowermadeeasy,0,2,0,0,0,0,1,2
789,com.google.android.apps.authenticator2,3,18,0,2,3,3,4,27
795,com.vrem.wifianalyzer,3,38,0,8,98,5,3,0
796,com.vrem.wifianalyzer,3,38,0,8,98,5,3,0
797,com.vrem.wifianalyzer,3,40,0,8,97,5,3,0
799,com.shatteredpixel.shatteredpixeldungeon,13,400,0,49,31,85,1,196
800,com.shatteredpixel.shatteredpixeldungeon,13,406,0,48,23,85,1,199
801,com.shatteredpixel.shatteredpixeldungeon,13,416,0,50,23,82,1,0
805,com.darshancomputing.BatteryIndicator,3,18,0,4,0,1,4,10
807,com.darshancomputing.BatteryIndicator,1,20,0,3,1,1,4,10
809,com.MarcosDiez.shareviahttp,0,13,0,1,0,0,1,11
811,com.MarcosDiez.shareviahttp,0,10,0,1,0,0,1,7
815,com.ghostsq.commander.sftp,2,118,0,10,11,8,0,6
832,com.owncloud.android,27,322,1,53,108,37,10,163
833,com.owncloud.android,28,329,1,54,108,37,10,163
834,com.owncloud.android,28,333,1,56,108,38,11,169
841,de.danoeh.antennapod,0,0,0,0,0,0,0,0
842,de.danoeh.antennapod,0,0,0,0,0,0,0,0
843,de.danoeh.antennapod,0,0,0,0,0,0,0,0
845,mazechazer.android.wottankquiz,0,8,0,1,0,0,3,10
846,com.github.wdkapps.fillup,9,102,1,13,52,5,10,26
852,damo.three.ie,13,248,8,83,107,32,6,38
856,teaonly.droideye,1,13,0,3,0,2,1,14
857,teaonly.droideye,6,47,2,9,8,10,1,15
863,com.achep.acdisplay,17,189,0,32,12,34,3,162
866,com.eleybourn.bookcatalogue,0,0,0,0,0,0,0,0
867,eu.mrogalski.saidit,1,13,0,0,0,0,2,0
872,com.angrydoughnuts.android.alarmclock,0,28,0,1,4,2,5,76
873,com.angrydoughnuts.android.alarmclock,0,28,0,1,4,2,5,76
886,com.xargsgrep.portknocker,18,107,2,39,24,29,6,70
888,com.nilhcem.hostseditor,21,176,2,50,38,29,6,103
890,com.jadn.cc,1,52,1,10,0,10,4,67
891,com.jadn.cc,1,58,1,10,1,10,4,68
900,org.jsl.wfwt,7,93,0,10,1,0,1,48
901,org.npr.android.news,19,408,3,80,58,103,2,77
907,com.brapeba.roaminginfo,0,2,0,0,0,0,4,4
912,com.gmail.jerickson314.sdscanner,1,5,0,0,1,0,1,3
916,com.olam,0,10,0,1,0,1,1,4
919,de.ub0r.android.smsdroid,0,0,0,0,0,0,0,0
922,org.ppsspp.ppsspp,1,10,1,3,0,6,2,15
924,com.catchingnow.tinyclipboardmanager,3,19,0,5,1,2,2,44
925,com.catchingnow.tinyclipboardmanager,3,24,0,5,1,2,2,47
926,com.catchingnow.tinyclipboardmanager,2,25,0,4,0,3,2,54
929,com.zaren,3,26,0,4,17,2,4,29
931,ru.gelin.android.weather.notification,0,32,1,1,44,6,4,13
933,ru.gelin.android.weather.notification,0,32,1,1,45,6,4,12
939,org.kost.nmap.android.networkmapper,1,16,0,1,0,0,2,13
945,org.wikipedia,0,0,0,0,0,0,0,0
946,org.wikipedia,0,0,0,0,0,0,0,0
947,org.wikipedia,0,0,0,0,0,0,0,0
957,trikita.slide,9,90,0,24,23,9,1,103
958,fr.simon.marquis.secretcodes,0,10,0,0,1,3,1,7
962,org.geometerplus.zlibrary.ui.android,18,420,9,87,47,89,29,315
963,org.geometerplus.zlibrary.ui.android,18,419,9,87,47,89,31,317
974,com.easytarget.micopi,0,16,0,2,0,0,2,5
975,com.easytarget.micopi,0,14,0,1,0,0,1,7
976,com.easytarget.micopi,0,14,0,1,0,0,1,7
979,com.googlecode.networklog,26,233,2,55,28,39,7,162
982,de.measite.contactmerger,0,0,0,0,0,0,0,0
985,com.simplemobiletools.calendar,11,134,0,31,84,50,2,0
991,com.simplemobiletools.musicplayer,3,11,0,4,11,2,2,0
1002,com.bri1.soundbored,0,0,0,0,0,0,1,3
1010,com.android.keepass,7,110,1,20,55,65,6,70
1011,com.android.keepass,7,110,1,20,55,65,6,71
1012,com.android.keepass,7,111,1,20,55,65,6,71
1013,com.dougkeen.bart,0,0,0,0,0,0,0,0
1014,com.dougkeen.bart,0,0,0,0,0,0,0,0
1022,ru.gelin.android.browser.open,0,6,0,0,1,3,3,2
1034,au.com.wallaceit.reddinator,21,303,3,57,16,35,14,195
1042,us.shandian.giga,3,68,0,15,19,6,2,64
1043,de.mangelow.network,0,1,0,0,0,0,1,0
1045,org.scummvm.scummvm,1,7,0,0,0,0,2,7
1046,ch.blinkenlights.battery,0,1,0,1,0,0,1,8
1051,org.tamanegi.atmosphere,2,11,0,2,0,0,1,10
1054,com.llamacorp.equate,8,41,0,10,81,2,1,27
1055,org.libreoffice.impressremote,0,3,0,4,5,2,6,1
1057,org.libreoffice.impressremote,0,4,0,4,5,2,6,1
1061,com.mattgmg.miracastwidget,0,2,0,0,0,0,1,1
1063,com.manor.currentwidget,2,46,0,12,9,4,4,18
1064,com.manor.currentwidget,5,57,0,12,10,7,5,18
1066,org.helllabs.android.xmp,3,46,1,8,1,8,6,55
1067,org.helllabs.android.xmp,4,44,1,8,0,3,6,0
1073,de.azapps.mirakelandroid,0,0,0,0,0,0,0,0
1074,org.kde.kdeconnect,0,0,0,0,0,0,0,0
1075,org.kde.kdeconnect,0,0,0,0,0,0,0,0
1076,org.kde.kdeconnect,0,0,0,0,0,0,0,0
1078,com.banasiak.coinflip,2,10,0,1,0,0,4,7
1079,com.banasiak.coinflip,2,10,0,1,0,0,4,7
1080,org.smssecure.smssecure,0,0,0,0,0,0,0,0
1082,org.smssecure.smssecure,0,0,0,0,0,0,0,0
1084,org.smssecure.smssecure,0,0,0,0,0,0,0,0
1086,org.smssecure.smssecure,0,0,0,0,0,0,0,0
1088,net.androgames.level,0,10,0,2,1,0,2,2
1099,org.scoutant.cc,2,20,0,5,2,0,2,20
1100,com.nkanaev.comics,0,0,0,0,0,0,0,0
1107,ch.corten.aha.worldclock,25,188,2,54,42,35,5,78
1108,org.cyanogenmod.great.freedom,0,0,0,0,0,0,0,0
1109,com.tobykurien.batteryfu,0,24,0,4,1,7,3,9
1118,com.frozendevs.periodictable,4,53,0,15,20,16,3,45
1125,org.tomdroid,5,92,2,15,15,9,3,95
1126,com.boardgamegeek,0,0,0,0,0,0,0,0
1127,com.boardgamegeek,0,0,0,0,0,0,0,0
1128,com.boardgamegeek,0,0,0,0,0,0,0,0
1129,org.sufficientlysecure.keychain,0,0,0,0,0,0,0,0
1131,org.sufficientlysecure.keychain,0,0,0,0,0,0,0,0
1134,org.xbmc.kore,0,0,0,0,0,0,0,0
1135,org.xbmc.kore,0,0,0,0,0,0,0,0
1136,org.xbmc.kore,0,0,0,0,0,0,0,0
1140,jp.takke.cpustats,0,8,0,3,0,2,2,0
1141,jp.takke.cpustats,1,10,0,3,0,2,3,0
1144,com.jonglen7.jugglinglab,12,199,1,23,65,21,5,53
1145,com.dynamicg.homebuttonlauncher,0,22,0,4,3,2,2,0
1146,rs.pedjaapps.alogcatroot.app,2,18,0,2,2,0,2,17
1150,net.kismetwireless.android.smarterwifimanager,20,188,0,37,39,10,2,110
1167,com.pilot51.voicenotify,1,12,0,2,6,2,2,22
1168,com.pilot51.voicenotify,1,12,0,2,6,2,2,22
1171,de.kugihan.dictionaryformids.hmi,6,68,0,12,13,8,10,76
1175,org.petero.droidfish,10,253,2,40,4,8,8,142
1176,org.petero.droidfish,11,243,2,39,4,9,8,150
1177,org.petero.droidfish,11,243,2,39,4,9,8,150
1180,com.andybotting.tramhunter,25,171,2,51,41,47,7,104
1181,com.lgallardo.qbittorrentclientpro,2,44,0,5,1,0,5,31
1184,org.mozilla.mozstumbler,0,0,0,0,0,0,0,0
1185,org.mozilla.mozstumbler,0,0,0,0,0,0,0,0
1187,me.tsukanov.counter,1,2,0,1,0,0,2,13
1188,me.tsukanov.counter,1,2,0,1,0,0,2,14
1198,com.easwareapps.g2l,0,29,0,5,0,5,5,31
1199,org.fedorahosted.freeotp,0,0,0,0,0,0,0,0
1200,org.fedorahosted.freeotp,16,652,0,124,148,18,10,88
1201,org.fedorahosted.freeotp,9,333,0,62,37,9,5,44
1202,com.artifex.mupdfdemo,5,30,2,7,5,28,4,83
1203,org.openintents.filemanager,2,32,0,6,2,5,9,57
1204,net.sf.times,7,87,0,24,73,13,4,15
1205,net.sf.times,7,87,0,24,73,14,4,15
1206,net.sf.times,8,100,0,24,77,16,5,15
1209,com.dngames.mobilewebcam,2,58,0,8,1,1,10,54
1218,in.shick.diode,0,0,0,0,0,0,0,0
1219,in.shick.diode,0,0,0,0,0,0,0,0
1220,org.openintents.notepad,2,42,0,2,3,2,10,26
1224,com.google.android.marvin.talkback,3,52,0,10,12,5,3,57
1230,com.google.android.gms,0,18,0,2,0,4,3,15
1233,com.eolwral.osmonitor,6,92,0,16,13,37,2,84
1234,com.eolwral.osmonitor,6,93,0,18,13,37,2,84
1235,com.eolwral.osmonitor,6,93,0,18,13,37,2,85
1238,de.saschahlusiak.freebloks,6,100,0,14,11,6,6,92
1240,net.lardcave.keepassnfc,0,5,0,1,0,1,4,8
1242,com.commit451.gitlab,0,0,0,0,0,0,0,0
1243,com.commit451.gitlab,0,0,0,0,0,0,0,0
1255,com.reicast.emulator,0,7,0,1,0,3,2,14
1258,com.sam.hex,21,161,3,47,40,33,5,134
1259,org.happysanta.gd,8,118,1,17,15,9,2,66
1260,com.mridang.wifiinfo,0,36,0,5,0,2,0,5
1267,org.sufficientlysecure.localcalendar,1,21,0,5,1,0,2,16
1268,org.sufficientlysecure.localcalendar,1,21,0,5,1,0,3,16
1289,com.mendhak.gpslogger,4,81,3,16,14,12,12,38
1290,com.oakley.fon,0,0,0,0,0,0,0,0
1291,com.oakley.fon,0,11,0,1,0,0,2,1
1292,com.oakley.fon,0,22,0,2,0,0,4,2
1293,com.javiersantos.mlmanager,0,0,0,0,0,0,0,0
1297,app.openconnect,6,124,1,13,18,4,8,88
1298,app.openconnect,7,125,1,13,19,4,8,88
1300,com.powerpoint45.lucidbrowser,2,41,0,5,2,6,3,27
1304,com.emmaguy.cleanstatusbar,2,52,0,12,23,6,1,37
1305,net.iowaline.dotdash,1,5,0,1,0,0,1,4
1307,net.wigle.wigleandroid,11,177,5,24,83,35,9,101
1308,net.wigle.wigleandroid,5,118,2,9,10,9,5,63
1311,biz.gyrus.yaab,4,25,0,4,1,1,2,42
1314,apps.droidnotify,3,164,0,13,10,5,32,157
1316,jp.sfjp.webglmol.NDKmol,0,14,0,1,1,0,6,12
1320,com.danvelazco.fbwrapper,5,26,0,7,2,2,2,15
1321,com.danvelazco.fbwrapper,5,26,0,7,2,2,2,15
1322,com.danvelazco.fbwrapper,5,26,0,7,2,2,2,15
1331,net.nurik.roman.dashclock,2,57,1,13,6,9,4,73
1333,com.twinone.locker,4,23,0,7,10,8,2,0
1334,org.scoutant.blokish,2,18,0,6,3,1,4,17
1335,org.scoutant.blokish,3,18,0,6,4,1,4,19
1336,org.scoutant.blokish,3,19,0,6,4,1,4,19
1337,org.wahtod.wififixer,22,150,2,43,25,38,5,0
1338,org.wahtod.wififixer,22,151,2,43,25,38,5,0
1339,org.wahtod.wififixer,1,39,0,3,1,8,2,0
1340,org.androidsoft.app.permission,2,10,0,2,1,10,3,5
1344,com.ruesga.android.wallpapers.photophase,4,60,0,7,7,2,2,31
1346,com.ruesga.android.wallpapers.photophase,12,234,2,35,44,21,3,0
1351,ro.weednet.contactssync,11,69,4,22,26,16,5,104
1352,ro.weednet.contactssync,3,50,3,12,14,5,5,0
1354,me.sheimi.sgit,0,0,0,0,0,0,0,0
1355,me.sheimi.sgit,0,0,0,0,0,0,0,0
1357,com.asksven.betterbatterystats,30,327,4,69,129,57,19,142
1358,com.asksven.betterbatterystats,31,365,4,73,126,58,21,164
1359,com.asksven.betterbatterystats,31,365,4,73,126,58,21,165
1361,net.minetest.minetest,0,3,0,1,1,0,3,4
1362,net.minetest.minetest,0,3,0,1,1,0,3,4
1363,net.minetest.minetest,0,2,0,0,1,0,3,4
1364,com.seb.SLWP,1,35,0,5,0,0,1,14
1365,com.seb.SLWP,1,35,0,5,0,0,1,15
1366,org.ligi.fast,0,15,1,1,0,1,3,0
1367,naman14.timber,0,0,0,0,0,0,0,0
1369,naman14.timber,0,0,0,0,0,0,0,0
1371,im.vector.alpha,0,0,0,0,0,0,0,0
1372,de.onyxbits.listmyapps,0,10,0,1,0,0,4,0
1375,douzifly.list,15,133,1,24,32,7,5,1
1387,com.color.colornamer,1,12,0,2,0,5,1,13
1388,uk.ac.ed.inf.mandelbrotmaps,3,13,0,4,0,2,3,8
1393,fr.simon.marquis.preferencesmanager,8,119,0,20,6,6,4,63
1395,fr.simon.marquis.preferencesmanager,10,74,0,16,10,7,3,49
1400,org.mariotaku.twidere.extension.twitlonger,0,28,0,1,0,6,3,3
1401,com.innodroid.mongobrowser,0,0,0,0,0,0,0,0
1408,org.torproject.android,5,82,0,8,4,1,7,58
1417,com.lukekorth.screennotifications,7,144,2,20,81,26,2,28
1418,com.lukekorth.screennotifications,7,144,2,20,78,25,2,28
1419,com.lukekorth.screennotifications,10,231,4,46,95,29,3,53
1422,com.plusonelabs.calendar,11,121,4,73,106,21,1,8
1423,com.plusonelabs.calendar,11,125,4,73,140,22,1,8
