id_version,package_name,average_rating,total_reviews,total_sentences,feature_requests,% feature_requests,problem_discoveries,% problem_discoveries,information_seeking,%  information_seeking,information_giving,% information_giving,other,App,GUI,Contents,Download,Company,Feature/Functionality,Improvement,Pricing,Resources,Update/Version,Model,Security,Other
113,org.dmfs.tasks,4.017241379,58,137,14,0.24137931,10,0.172413793,5,0.086206897,14,0.24137931,94,39,18,7,4,82,4,6,0,1,0,4,0,36
114,com.simplemobiletools.filemanager,4.24742268,97,222,18,0.18556701,15,0.154639175,5,0.051546392,9,0.092783505,175,47,36,7,1,110,2,5,2,1,1,5,1,73
115,com.numix.calculator,3.821428571,56,98,5,0.089285714,6,0.107142857,3,0.053571429,5,0.089285714,79,25,17,3,1,33,2,5,1,0,1,1,0,47
116,com.maskyn.fileeditorpro,3.923076923,13,37,2,0.153846154,2,0.153846154,0,0,1,0.076923077,32,6,4,3,0,23,1,2,0,0,0,3,0,10
119,net.fred.feedex,4.052631579,38,117,10,0.263157895,12,0.315789474,0,0,6,0.157894737,89,24,21,4,0,60,4,6,0,0,3,2,0,34
121,net.fred.feedex,3.956043956,91,209,22,0.241758242,22,0.241758242,4,0.043956044,14,0.153846154,147,46,59,2,4,104,7,12,2,2,2,4,1,57
122,org.passwordmaker.android,3.666666667,18,52,3,0.166666667,4,0.222222222,2,0.111111111,7,0.388888889,36,11,6,1,0,35,1,7,0,3,0,7,0,8
125,jp.forkhub,4.333333333,18,37,4,0.222222222,1,0.055555556,1,0.055555556,4,0.222222222,27,12,4,0,0,19,1,1,1,0,0,3,0,11
129,com.mgaetan89.showsrage,4.186046512,43,106,15,0.348837209,8,0.186046512,3,0.069767442,8,0.186046512,72,34,26,3,0,65,2,3,0,1,1,4,1,24
135,com.pindroid,4.307692308,13,44,5,0.384615385,3,0.230769231,0,0,5,0.384615385,31,13,6,0,0,26,0,2,0,2,0,9,0,10
137,marto.rtl,3.8,70,127,4,0.057142857,17,0.242857143,1,0.014285714,6,0.085714286,99,30,11,7,0,69,0,13,3,0,3,27,0,37
138,net.osmand.plus,3.551020408,98,316,22,0.224489796,25,0.255102041,7,0.071428571,30,0.306122449,232,90,45,20,10,191,15,28,4,1,8,15,0,70
139,net.osmand.plus,3.814814815,27,104,6,0.222222222,7,0.259259259,1,0.037037037,9,0.333333333,81,25,13,7,1,41,4,4,0,0,3,3,0,46
140,net.osmand.plus,3.839449541,218,676,34,0.155963303,71,0.325688073,21,0.096330275,62,0.28440367,488,187,106,43,14,409,26,70,1,10,12,31,3,131
152,org.openintents.safe,3.956834532,139,384,21,0.151079137,44,0.316546763,2,0.014388489,24,0.172661871,293,121,33,21,0,235,2,36,2,3,4,47,1,86
155,com.nolanlawson.keepscore,3.883333333,120,311,26,0.216666667,32,0.266666667,1,0.008333333,23,0.191666667,229,109,54,18,3,161,5,9,0,0,1,14,5,82
156,org.thialfihar.android.apg,4.261904762,42,97,2,0.047619048,8,0.19047619,1,0.023809524,7,0.166666667,79,15,11,2,0,52,5,11,0,1,0,7,0,32
157,org.thialfihar.android.apg,3.884057971,207,503,29,0.140096618,64,0.309178744,3,0.014492754,31,0.149758454,376,116,38,20,4,270,4,25,1,6,1,43,3,150
163,org.iilab.pb,3.04,25,57,8,0.32,6,0.24,0,0,3,0.12,40,18,6,2,0,38,1,3,0,0,0,5,1,12
166,de.j4velin.systemappmover,3.64028777,139,262,8,0.057553957,31,0.223021583,5,0.035971223,23,0.165467626,195,99,11,7,3,124,4,13,2,0,3,31,0,80
168,com.amabyte.vtucslabmanual,4.565217391,23,30,1,0.043478261,1,0.043478261,0,0,2,0.086956522,26,8,1,3,0,10,1,0,0,0,1,0,0,13
169,jwtc.android.chess,3.82,50,110,4,0.08,10,0.2,2,0.04,11,0.22,83,24,10,6,6,51,8,2,0,0,0,4,1,39
171,com.drodin.tuxrider,2.777777778,18,33,2,0.111111111,7,0.388888889,0,0,4,0.222222222,20,7,5,1,1,17,1,0,0,0,1,4,0,9
179,com.juet.attendance,2.375,16,17,1,0.0625,9,0.5625,0,0,1,0.0625,6,4,1,0,0,12,0,6,0,0,0,0,0,1
184,com.moez.QKSMS,3.815789474,76,234,15,0.197368421,13,0.171052632,2,0.026315789,19,0.25,185,76,30,7,0,107,3,3,1,0,0,8,4,80
185,com.moez.QKSMS,3.941176471,17,33,3,0.176470588,1,0.058823529,1,0.058823529,4,0.235294118,24,14,6,0,1,20,3,4,0,0,0,1,1,6
186,com.moez.QKSMS,3.510204082,392,993,64,0.163265306,116,0.295918367,19,0.048469388,80,0.204081633,714,355,179,31,9,583,14,36,4,1,9,64,29,232
190,com.manuelmaly.hn,4.125,16,36,2,0.125,2,0.125,0,0,5,0.3125,27,13,7,1,0,16,0,3,0,0,0,2,0,12
197,org.michaelevans.nightmodeenabler,3.558441558,462,919,26,0.056277056,182,0.393939394,16,0.034632035,35,0.075757576,660,169,87,15,3,566,10,82,1,0,2,104,0,246
199,org.linphone,3.6,30,59,2,0.066666667,8,0.266666667,0,0,6,0.2,43,7,6,1,0,30,1,7,1,1,0,5,2,21
200,org.linphone,3.138613861,101,268,6,0.059405941,44,0.435643564,6,0.059405941,25,0.247524752,187,97,29,11,4,154,18,23,0,17,1,30,2,60
202,ru.gelin.android.sendtosd,4.037735849,53,74,0,0,7,0.132075472,1,0.018867925,4,0.075471698,62,23,8,3,1,33,0,2,1,0,2,6,0,24
203,ru.gelin.android.sendtosd,3.253835425,717,1135,20,0.027894003,109,0.152022315,31,0.043235704,63,0.087866109,912,296,114,43,15,518,3,19,12,1,28,70,1,434
209,org.servalproject,4.034965035,143,358,18,0.125874126,21,0.146853147,8,0.055944056,25,0.174825175,286,90,21,33,2,189,6,9,9,0,1,40,1,112
216,de.eidottermihi.raspicheck,3.934782609,46,76,5,0.108695652,4,0.086956522,3,0.065217391,4,0.086956522,60,30,5,6,2,37,3,2,1,0,1,4,0,20
221,net.bible.android.activity,4.565217391,92,308,15,0.163043478,9,0.097826087,8,0.086956522,35,0.380434783,241,86,26,13,5,122,7,14,0,0,12,16,1,122
222,net.bible.android.activity,4.66025641,156,426,22,0.141025641,15,0.096153846,7,0.044871795,32,0.205128205,350,137,46,22,9,194,4,29,0,0,17,29,0,129
231,fr.neamar.kiss,4.5,10,23,0,0,1,0.1,0,0,1,0.1,21,3,2,0,0,7,0,1,0,0,0,4,1,11
233,fr.neamar.kiss,4.288461538,156,373,36,0.230769231,21,0.134615385,9,0.057692308,26,0.166666667,281,76,53,12,0,194,10,8,2,1,2,20,6,138
234,de.onyxbits.sensorreadout,4.666666667,15,32,5,0.333333333,2,0.133333333,1,0.066666667,3,0.2,21,12,6,1,1,19,0,1,0,0,0,4,0,7
238,com.nathanosman.chronosnap,3.090909091,11,41,4,0.363636364,5,0.454545455,3,0.272727273,4,0.363636364,25,8,7,4,0,20,1,1,1,0,0,1,0,17
258,com.bleyl.recurrence,4.272727273,22,59,9,0.409090909,1,0.045454545,2,0.090909091,4,0.181818182,43,17,11,2,2,35,1,1,0,0,0,0,0,18
259,org.wheelmap.android.online,3.230769231,13,30,2,0.153846154,4,0.307692308,2,0.153846154,4,0.307692308,18,9,1,4,0,18,1,2,0,0,0,2,0,7
271,me.guillaumin.android.osmtracker,3.736842105,19,48,1,0.052631579,3,0.157894737,2,0.105263158,1,0.052631579,41,16,11,3,0,30,0,6,0,0,1,2,0,7
273,de.yazo,4.055555556,18,26,0,0,2,0.111111111,1,0.055555556,0,0,23,2,1,0,0,6,0,0,0,0,0,1,0,17
274,com.frozendevs.cache.cleaner,4.923076923,13,26,1,0.076923077,1,0.076923077,0,0,1,0.076923077,23,7,0,2,1,13,0,0,2,0,0,1,0,8
275,com.frozendevs.cache.cleaner,3.894736842,19,45,0,0,5,0.263157895,2,0.105263158,3,0.157894737,35,22,4,1,0,28,0,1,12,0,1,0,0,8
276,com.frozendevs.cache.cleaner,4.518796992,133,258,7,0.052631579,8,0.060150376,2,0.015037594,17,0.127819549,224,73,20,6,7,111,4,7,36,0,2,11,2,100
277,com.palliser.nztides,4.1875,16,35,3,0.1875,1,0.0625,0,0,3,0.1875,28,11,4,6,1,14,1,1,0,0,1,2,0,11
278,com.roguetemple.hyperroid,4.6875,16,35,3,0.1875,0,0,0,0,2,0.125,30,6,2,3,0,19,4,0,0,0,0,3,0,10
279,org.dsandler.apps.markers,4.1075,400,822,39,0.0975,45,0.1125,14,0.035,51,0.1275,673,260,155,38,17,346,13,11,0,1,4,28,0,313
282,org.scid.android,4.207792208,77,166,16,0.207792208,10,0.12987013,4,0.051948052,10,0.12987013,126,42,17,5,3,79,4,6,0,0,5,3,0,54
283,com.dozingcatsoftware.bouncy,4.647058824,17,44,1,0.058823529,1,0.058823529,0,0,4,0.235294118,38,14,6,1,0,17,1,1,1,0,1,4,0,12
284,de.repat.mosf,4.730769231,26,56,4,0.153846154,1,0.038461538,0,0,5,0.192307692,46,12,8,3,1,29,0,1,0,0,2,8,0,13
288,net.sourceforge.opencamera,4.485148515,101,203,8,0.079207921,11,0.108910891,1,0.00990099,35,0.346534653,148,75,30,7,11,89,12,7,0,0,2,16,0,49
289,net.sourceforge.opencamera,4.150943396,371,739,43,0.115902965,61,0.164420485,15,0.040431267,85,0.229110512,535,231,108,21,19,340,21,24,3,0,5,60,1,247
290,net.sourceforge.opencamera,4.174668874,1208,2436,103,0.085264901,198,0.163907285,36,0.029801325,227,0.187913907,1872,797,395,56,64,1073,86,47,6,2,11,140,3,772
292,org.sickstache,3.529411765,34,80,6,0.176470588,14,0.411764706,0,0,9,0.264705882,51,19,12,2,0,54,0,2,0,0,0,2,0,19
295,net.bytten.xkcdviewer,4.631578947,38,74,2,0.052631579,10,0.263157895,0,0,5,0.131578947,57,28,14,1,1,41,1,1,0,0,0,7,0,16
299,com.watabou.pixeldungeon,4.102493075,361,795,49,0.135734072,49,0.135734072,12,0.033240997,93,0.257617729,592,176,41,39,9,302,13,30,1,0,6,27,1,325
300,com.watabou.pixeldungeon,4.258553275,2046,4390,205,0.100195503,217,0.106060606,48,0.023460411,461,0.225317693,3459,948,281,159,78,1516,64,136,10,4,41,159,5,1939
302,com.concentricsky.android.khan,3.433333333,60,101,8,0.133333333,20,0.333333333,0,0,3,0.05,70,46,23,6,1,51,2,3,1,1,10,7,0,20
307,com.alfray.timeriffic,4.2,230,627,25,0.108695652,41,0.17826087,7,0.030434783,48,0.208695652,506,208,36,27,3,343,11,42,7,18,3,94,3,158
315,name.boyle.chris.sgtpuzzles,4.79245283,106,239,15,0.141509434,4,0.037735849,4,0.037735849,14,0.132075472,202,64,29,8,5,81,3,3,0,0,2,7,0,103
316,name.boyle.chris.sgtpuzzles,4.868804665,343,820,20,0.058309038,23,0.067055394,5,0.014577259,79,0.2303207,693,216,73,20,46,259,18,15,5,0,11,43,0,337
318,github.daneren2005.dsub,4.722943723,231,671,31,0.134199134,60,0.25974026,4,0.017316017,76,0.329004329,500,242,58,22,8,348,61,59,7,1,7,48,1,163
319,github.daneren2005.dsub,4.356321839,174,573,29,0.166666667,46,0.264367816,4,0.022988506,79,0.454022989,415,208,64,33,2,336,28,50,19,0,3,41,1,118
325,cx.ring,2.457142857,35,86,7,0.2,19,0.542857143,3,0.085714286,5,0.142857143,52,22,6,5,0,65,1,8,0,12,0,16,2,8
327,me.writeily,3.863636364,22,54,6,0.272727273,1,0.045454545,1,0.045454545,2,0.090909091,44,12,13,7,0,26,2,1,0,1,0,3,0,13
350,de.srlabs.snoopsnitch,2.318181818,22,47,0,0,8,0.363636364,0,0,2,0.090909091,37,13,6,4,0,27,0,1,0,0,1,10,0,11
351,de.srlabs.snoopsnitch,2.695121951,82,161,5,0.06097561,24,0.292682927,2,0.024390244,12,0.146341463,118,39,8,14,1,94,2,8,0,0,0,44,0,48
354,ro.mihai.tpt,3.303370787,89,182,2,0.02247191,1,0.011235955,0,0,5,0.056179775,174,4,1,2,0,6,0,25,0,0,0,2,0,147
360,com.nextcloud.client,4.25,24,67,3,0.125,7,0.291666667,2,0.083333333,5,0.208333333,50,18,8,1,0,37,6,5,2,1,1,5,0,19
362,com.gimranov.zandy.app,2.666666667,30,120,10,0.333333333,20,0.666666667,0,0,10,0.333333333,80,37,24,15,2,82,3,2,1,1,8,15,0,16
364,com.colinmcdonough.android.torch,4.467213115,244,416,9,0.036885246,24,0.098360656,4,0.016393443,17,0.069672131,362,120,64,10,4,154,5,8,6,1,4,20,0,164
368,app.easytoken,4.714285714,21,52,4,0.19047619,3,0.142857143,0,0,2,0.095238095,43,24,2,2,1,29,2,3,0,0,1,7,1,13
373,vu.de.urpool.quickdroid,4.363636364,33,102,4,0.121212121,4,0.121212121,2,0.060606061,10,0.303030303,82,39,19,3,0,60,3,6,0,0,0,8,5,30
374,com.kaneoriley.cyanogenport.launcher3,4.396,250,481,34,0.136,34,0.136,10,0.04,36,0.144,367,98,101,12,1,233,8,27,3,3,4,35,1,171
376,fr.herverenault.selfhostedgpstracker,4.833333333,12,29,3,0.25,0,0,1,0.083333333,0,0,25,3,8,3,0,15,0,0,1,0,0,5,0,9
378,de.szalkowski.activitylauncher,4.233576642,137,250,12,0.087591241,25,0.182481752,6,0.04379562,9,0.065693431,198,88,38,8,0,121,0,6,1,0,0,22,0,74
382,org.brandroid.openmanager,4.186440678,118,206,8,0.06779661,18,0.152542373,2,0.016949153,10,0.084745763,168,55,18,5,3,105,2,6,0,0,0,9,0,78
400,info.papdt.blackblub,4.513636364,660,1068,42,0.063636364,49,0.074242424,4,0.006060606,56,0.084848485,917,352,139,17,20,390,29,28,1,1,8,43,3,408
409,com.nauj27.android.colorpicker,3.976470588,85,175,22,0.258823529,13,0.152941176,3,0.035294118,16,0.188235294,121,51,36,7,0,85,3,4,0,0,0,9,0,61
413,acr.browser.lightning,4.25,56,187,10,0.178571429,19,0.339285714,0,0,26,0.464285714,132,28,33,7,3,106,7,16,2,1,6,11,0,48
414,acr.browser.lightning,3.967391304,92,249,12,0.130434783,40,0.434782609,2,0.02173913,21,0.22826087,174,52,39,9,7,157,12,16,1,1,13,20,0,53
415,acr.browser.lightning,3.238636364,88,307,19,0.215909091,34,0.386363636,8,0.090909091,26,0.295454545,220,64,70,8,8,183,8,47,0,0,0,16,0,75
420,com.github.andlyticsproject,4.705882353,17,31,1,0.058823529,2,0.117647059,0,0,3,0.176470588,25,7,1,0,1,12,0,5,0,0,0,0,1,14
422,com.github.andlyticsproject,4.342281879,149,311,29,0.194630872,29,0.194630872,7,0.046979866,28,0.187919463,218,109,45,9,1,174,7,27,1,13,4,6,1,75
428,org.numixproject.iconsubmit,2.846153846,13,31,4,0.307692308,2,0.153846154,1,0.076923077,1,0.076923077,23,9,6,1,0,13,1,2,0,0,0,2,0,10
431,de.ub0r.android.callmeter,4.067073171,164,356,19,0.115853659,13,0.079268293,5,0.030487805,35,0.213414634,284,105,32,26,13,157,4,21,2,2,0,25,2,127
432,de.qspool.clementineremote,4.565217391,92,239,21,0.22826087,8,0.086956522,1,0.010869565,18,0.195652174,191,57,28,19,1,125,1,5,0,0,6,18,1,76
433,de.qspool.clementineremote,4.301724138,116,274,25,0.215517241,13,0.112068966,8,0.068965517,24,0.206896552,204,70,22,19,2,151,7,11,2,0,11,22,0,76
434,de.qspool.clementineremote,4.115384615,26,50,1,0.038461538,7,0.269230769,2,0.076923077,3,0.115384615,37,18,0,3,1,18,0,1,1,0,3,3,1,19
440,com.shahul3d.indiasatelliteweather,4.434322895,2459,3352,105,0.042700285,59,0.023993493,18,0.007320049,155,0.063033754,3015,1064,282,158,2,850,74,148,8,0,19,17,12,1524
441,com.dozingcatsoftware.cameratimer,3.307692308,13,31,1,0.076923077,2,0.153846154,0,0,0,0,28,4,8,0,1,15,1,0,0,0,1,1,0,10
448,org.yuttadhammo.BodhiTimer,4.284210526,95,235,10,0.105263158,11,0.115789474,4,0.042105263,23,0.242105263,187,42,16,9,6,100,8,6,0,1,0,9,1,103
454,com.ghstudios.android.mhgendatabase,4.689922481,129,275,35,0.271317829,10,0.07751938,10,0.07751938,23,0.178294574,197,94,35,39,3,127,4,17,1,0,2,2,0,82
455,goo.TeaTimer,3.948717949,39,112,7,0.179487179,4,0.102564103,1,0.025641026,15,0.384615385,85,24,15,4,1,56,6,6,0,0,1,5,0,39
461,net.pmarks.chromadoze,4.805555556,36,118,8,0.222222222,4,0.111111111,2,0.055555556,11,0.305555556,93,37,14,3,3,50,3,1,0,2,3,1,0,42
465,org.ligi.vaporizercontrol,4.777777778,18,58,4,0.222222222,0,0,0,0,12,0.666666667,42,21,9,0,0,33,2,2,0,0,0,3,0,12
469,net.kervala.comicsreader,2.92,50,104,6,0.12,19,0.38,2,0.04,9,0.18,68,27,17,3,3,57,5,3,0,0,4,0,0,29
471,net.kervala.comicsreader,3.49122807,57,116,6,0.105263158,18,0.315789474,4,0.070175439,4,0.070175439,84,38,28,1,1,67,2,8,1,0,0,1,0,25
476,org.yaxim.androidclient,3.979166667,48,93,4,0.083333333,8,0.166666667,2,0.041666667,2,0.041666667,77,22,12,3,0,49,0,2,1,4,0,3,2,28
479,com.gelakinetic.mtgfam,4.771428571,70,153,14,0.2,3,0.042857143,0,0,20,0.285714286,116,60,21,9,8,76,4,4,0,0,0,1,1,33
480,com.gelakinetic.mtgfam,4.794117647,68,142,12,0.176470588,3,0.044117647,5,0.073529412,10,0.147058824,112,52,9,4,4,69,4,6,0,0,2,6,0,43
481,com.gelakinetic.mtgfam,4.642857143,14,29,3,0.214285714,4,0.285714286,0,0,1,0.071428571,21,18,3,1,0,14,0,3,0,0,0,1,0,5
484,nitezh.ministock,3.52173913,23,63,1,0.043478261,10,0.434782609,0,0,7,0.304347826,45,25,10,4,2,44,3,14,0,0,0,7,0,9
485,nitezh.ministock,3.473684211,19,53,2,0.105263158,6,0.315789474,0,0,8,0.421052632,37,12,12,3,1,32,1,11,0,0,0,3,0,13
489,com.app.missednotificationsreminder,3.238095238,21,65,8,0.380952381,8,0.380952381,1,0.047619048,6,0.285714286,42,22,8,2,0,46,1,1,0,0,1,5,0,10
490,us.bravender.android.dongsa,4.142857143,28,74,6,0.214285714,3,0.107142857,0,0,8,0.285714286,57,29,18,0,0,37,4,4,0,1,0,4,0,15
496,org.qii.weiciyuan,4.089285714,56,63,1,0.017857143,4,0.071428571,0,0,0,0,58,10,1,1,0,8,1,1,0,1,0,1,0,45
498,com.termux.api,4.285714286,14,25,4,0.285714286,3,0.214285714,1,0.071428571,4,0.285714286,13,5,2,3,1,16,0,1,1,0,0,4,0,5
501,eu.faircode.netguard,3.989830508,295,858,37,0.125423729,80,0.271186441,15,0.050847458,69,0.233898305,657,285,80,26,27,433,18,44,9,15,9,80,2,264
507,jackpal.androidterm,4.122866894,293,416,26,0.088737201,50,0.170648464,14,0.04778157,20,0.068259386,306,94,28,9,3,192,4,6,4,0,6,30,0,155
514,com.knirirr.beecount,4.8,10,35,5,0.5,1,0.1,0,0,2,0.2,27,9,8,2,0,20,2,1,0,0,0,0,0,11
515,com.knirirr.beecount,4.769230769,13,41,2,0.153846154,1,0.076923077,0,0,4,0.307692308,34,14,4,4,0,25,1,0,0,0,0,0,0,10
516,com.knirirr.beecount,4.76,25,66,4,0.16,1,0.04,4,0.16,6,0.24,51,22,10,4,0,37,3,1,0,0,0,2,0,16
520,com.farmerbb.taskbar,4.052631579,19,54,7,0.368421053,4,0.210526316,0,0,2,0.105263158,41,16,10,1,1,29,3,3,0,0,1,3,0,19
521,com.farmerbb.taskbar,4.232081911,293,666,57,0.194539249,35,0.119453925,5,0.017064846,56,0.19112628,513,206,156,30,7,366,15,25,0,0,7,48,2,183
522,org.jessies.dalvikexplorer,4.441176471,34,50,2,0.058823529,0,0,3,0.088235294,0,0,45,12,5,7,0,14,0,1,0,0,0,3,0,27
526,com.aselalee.trainschedule,5,10,15,0,0,0,0,1,0.1,0,0,14,5,0,0,0,2,0,0,0,0,0,0,0,9
527,com.aselalee.trainschedule,4.65,20,61,1,0.05,4,0.2,0,0,3,0.15,53,15,2,0,0,20,1,2,0,0,0,2,0,33
528,com.aselalee.trainschedule,3.15942029,69,115,1,0.014492754,26,0.376811594,0,0,2,0.028985507,86,25,9,1,0,48,5,2,0,0,0,0,0,50
531,com.ds.avare,4.592891761,619,1464,56,0.090468498,68,0.109854604,17,0.027463651,139,0.224555735,1184,554,137,112,169,681,78,58,6,2,20,107,7,340
533,giraffine.dimmer,4.428571429,154,291,8,0.051948052,15,0.097402597,2,0.012987013,15,0.097402597,251,99,36,9,1,129,4,4,1,1,3,15,0,104
534,giraffine.dimmer,4.242424242,198,373,11,0.055555556,24,0.121212121,0,0,14,0.070707071,324,127,49,6,1,168,5,16,3,1,2,21,0,118
536,dk.andsen.asqlitemanager,4.337606838,234,437,22,0.094017094,35,0.14957265,4,0.017094017,22,0.094017094,354,114,61,6,11,226,13,16,1,0,1,24,0,144
538,in.blogspot.anselmbros.torchie,3.676056338,71,160,6,0.084507042,24,0.338028169,3,0.042253521,11,0.154929577,116,34,29,11,0,89,0,5,0,0,0,12,0,43
539,in.blogspot.anselmbros.torchie,3.79047619,315,588,21,0.066666667,66,0.20952381,4,0.012698413,40,0.126984127,457,177,91,33,1,285,6,18,1,0,8,44,0,175
542,org.andglkmod.hunkypunk,4.4,30,83,5,0.166666667,8,0.266666667,2,0.066666667,15,0.5,53,23,11,3,0,52,1,4,1,0,1,6,0,13
545,org.wordpress.android,3.6675,3200,6339,296,0.0925,833,0.2603125,147,0.0459375,407,0.1271875,4656,1860,892,406,38,3380,136,489,11,81,44,267,41,1812
546,com.pilockerstable,3.468085106,47,108,5,0.106382979,14,0.29787234,0,0,10,0.212765957,79,12,23,8,1,55,3,6,1,0,0,6,0,33
